"country_code"
"US"
"IN"
"CA"
"NG"
"PT"
"AL"
"CO"
"EG"
"TR"
"GE"
"BR"
"MK"
"ZA"
"PH"
"GB"
"PL"
"RO"
"IL"
"PS"
"KE"
"CH"
"AM"
"NP"
"SE"
"NI"
"PE"
"PK"
"IT"
"ID"
"AR"
"DE"
"UZ"
"SG"
"MA"
"MX"
"FR"
"IR"
"SA"
"NZ"
"ES"
"BD"
"VN"
"AE"
"UA"
"RS"
"GN"
"FI"
"SK"
"NL"
"BO"
"CM"
"EC"
"SI"
"AU"
"UG"
"HR"
"MY"
"GH"
"XK"
"HU"
"TH"
"SY"
"CR"
"KZ"
"IE"
"ET"
"BG"
"SV"
"LB"
"TJ"
"AZ"
"CY"
"YE"
"UY"
"KR"
"DO"
"CL"
"TN"
"CD"
"MG"
"EE"
"VE"
"AO"
"QA"
"GR"
"LK"
"RW"
"RU"
"DZ"
"SN"
"JO"
"MN"
"BE"
"CZ"
"DK"
"BA"
"KW"
"CN"
"ZM"
"IM"
"AT"
"NO"
"MM"
"TW"
"LT"
"IQ"
"ME"
"LV"
"PY"
"ZW"
"HK"
"TZ"
"HN"
"TG"
"BF"
"GT"
"KH"
"CI"
"OM"
"LU"
"PR"
"BH"
"CG"
"KG"
"MZ"
"AF"
