"job_application_id","has_embedding","km_cluster","hc_cluster","hdb_cluster"
"d18e6113-2885-4f6e-8d2d-5969bd9a8b67",TRUE,1,5,2
"9b6a7ee8-c1e7-4612-a7fa-fb5e3c07f5ae",TRUE,7,8,2
"233191bb-74aa-4b1d-b7c5-3f30a24c110e",TRUE,3,1,2
"6f4784a8-48e8-40c2-98fa-22bc18e5ad78",TRUE,3,8,2
"310d5c5c-1273-42d6-adda-bca6ce587c28",TRUE,1,3,2
"2d20a43e-bf89-4168-bc63-57ec196c8d07",TRUE,5,5,2
"878c5231-57bc-44eb-bf73-d2f58bd0f984",TRUE,1,2,2
"0e750c9a-e0c2-41fc-8ed7-122de99a5a1e",TRUE,5,1,2
"2db53851-9aa3-45be-90ca-587d75d475a3",TRUE,8,8,2
"2db53851-9aa3-45be-90ca-587d75d475a3",TRUE,8,8,2
"24041275-aa41-442a-80e7-f7e14b5f79ec",TRUE,4,7,2
"9bb2366c-98cc-47e1-a9a2-f07889af414e",TRUE,4,7,2
"97898944-8d35-4d9c-b543-b13a4acac6c7",TRUE,3,9,2
"94ae3644-78f3-4987-ba47-19824af47890",TRUE,1,2,2
"d7da173c-d7b9-4465-aa2b-d27ff7392809",TRUE,8,2,2
"23542f4a-99b6-4e5b-813c-be8d099e378f",TRUE,8,8,2
"163523c7-9537-450e-8702-976758c359d7",TRUE,1,2,2
"8ceb38ff-6536-42bf-881b-500b2c199e25",TRUE,3,1,2
"85483e4a-d5b4-4b9d-8698-de812746f29c",TRUE,5,4,2
"b2b983c3-2182-4a54-ad74-ea72ae08a35f",TRUE,4,7,2
"c37cf4c3-7e78-47bb-b1dc-6641e168b903",TRUE,7,6,2
"ab757a27-bb1f-46aa-b8dc-654be4606704",TRUE,1,1,2
"94b1ae3e-4b78-49e4-9b6a-e87d0f8c7f0b",TRUE,5,6,2
"c088e581-1de7-436f-9526-7e6491e7583a",TRUE,5,5,2
"fd7fd7df-4cf2-4fac-a4bf-122a06e337e5",TRUE,7,6,2
"79ecf03c-1d05-47d7-9657-fdda4adc83ca",TRUE,3,1,2
"d82dd6ee-b90a-45cd-aed8-4dc7e1b19915",TRUE,8,8,2
"353daaa7-0215-48a8-af03-68a4269c9bdc",TRUE,1,2,2
"bb93a4e0-d7d3-44b8-af5e-df599860ecc5",TRUE,4,7,2
"a93bf6ce-4d31-4888-b2a8-964b1a02aeb0",TRUE,4,7,2
"9182e1ac-30b2-489f-83a0-a0250cbed4bd",TRUE,5,5,2
"87928798-030d-43ce-a0a1-fab180a77bca",TRUE,4,7,2
"2358a68d-058e-42ec-b34c-2a9c573240b1",TRUE,6,9,2
"1ddb070a-2768-4015-8ab5-5fe82de71b5f",TRUE,3,1,2
"aa6b1052-7960-4876-901f-6f6dec40c00f",TRUE,4,2,2
"523273ee-5440-4e97-8b0e-478220742b85",TRUE,4,8,2
"aba29c7b-63eb-4406-82d1-c956c5925972",TRUE,5,1,2
"b065618d-1f05-4a55-9ca1-d851c0b42ebc",TRUE,5,9,2
"d91b7a92-4818-4eb9-ac2f-9b637bcc0d3e",TRUE,5,4,2
"a50df669-4098-48cb-8553-2d31c491c13f",TRUE,4,7,2
"f398f71f-22a9-4347-a1d3-43cc6013af54",TRUE,4,7,2
"fe657843-8bb0-42b0-9bf9-621861681c4b",TRUE,4,7,2
"37201be9-e89b-40e7-9162-15a55afe02b0",TRUE,5,4,2
"cc538c57-b86f-461e-a85a-cc6ee7cde6db",TRUE,5,3,2
"301038a9-d574-4cbb-b215-17ab30df76b4",TRUE,4,7,2
"adf58e72-e6e9-43e7-837b-d12345011f31",TRUE,6,6,2
"eebe3813-56b7-40ad-af62-2ff5c4e55330",TRUE,3,3,2
"d46e4271-67ca-4ae8-942d-87f6e6e88594",TRUE,8,8,2
